PRISM Time Series Data
Location:  Lat: 47.4785   Lon: -120.8192   Elev: 5804ft
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 2021-05-15 - 2022-10-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Mar-03
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
2021-10-12,0.00,29.6
2021-10-13,0.18,30.2
2021-10-14,0.14,29.1
2021-10-15,0.24,32.9
2021-10-16,0.00,39.8
2021-10-17,0.00,44.4
2021-10-18,0.00,42.5
2021-10-19,0.00,40.7
2021-10-20,0.00,42.0
2021-10-21,0.22,35.1
2021-10-22,0.35,39.3
2021-10-23,0.28,35.3
2021-10-24,0.12,32.5
2021-10-25,0.54,32.8
2021-10-26,0.38,30.9
2021-10-27,1.11,32.0
2021-10-28,0.53,31.6
2021-10-29,1.18,39.4
2021-10-30,0.06,31.3
2021-10-31,0.00,31.5
2021-11-01,0.00,33.0
2021-11-02,0.25,31.3
2021-11-03,0.29,32.3
2021-11-04,0.07,37.1
2021-11-05,0.76,33.1
2021-11-06,0.09,27.5
2021-11-07,0.40,24.1
2021-11-08,0.35,23.8
2021-11-09,0.08,28.0
2021-11-10,0.74,25.1
2021-11-11,0.34,27.8
2021-11-12,1.75,32.2
2021-11-13,1.41,34.2
2021-11-14,0.97,32.6
2021-11-15,0.51,42.5
2021-11-16,0.35,30.9
2021-11-17,0.03,21.6
2021-11-18,0.00,25.8
2021-11-19,0.61,24.5
2021-11-20,0.06,27.0
2021-11-21,0.03,27.5
2021-11-22,0.03,34.7
2021-11-23,0.11,32.0
2021-11-24,0.19,23.8
2021-11-25,0.07,27.4
2021-11-26,0.80,34.3
2021-11-27,0.40,33.6
2021-11-28,1.24,37.9
2021-11-29,0.07,39.1
2021-11-30,0.01,37.0
2021-12-01,0.50,40.6
2021-12-02,0.02,42.2
2021-12-03,0.00,30.7
2021-12-04,0.03,26.1
2021-12-05,0.49,24.2
2021-12-06,0.07,21.0
2021-12-07,0.32,25.0
2021-12-08,0.17,30.0
2021-12-09,0.35,22.8
2021-12-10,0.45,18.5
2021-12-11,0.77,21.8
2021-12-12,1.54,23.2
2021-12-13,0.34,19.0
2021-12-14,0.33,20.8
2021-12-15,0.22,17.3
2021-12-16,0.13,17.6
2021-12-17,0.18,20.2
2021-12-18,0.23,17.7
2021-12-19,1.09,20.4
2021-12-20,0.23,19.1
2021-12-21,0.49,21.1
2021-12-22,0.27,26.1
2021-12-23,0.55,26.3
2021-12-24,0.59,20.6
2021-12-25,0.47,18.1
2021-12-26,0.46,14.8
2021-12-27,0.04,5.3
2021-12-28,0.04,4.6
2021-12-29,0.05,9.7
2021-12-30,0.11,7.9
2021-12-31,0.39,10.2
2022-01-01,0.00,8.6
2022-01-02,0.06,13.5
2022-01-03,0.65,13.0
2022-01-04,0.70,13.2
2022-01-05,0.50,17.6
2022-01-06,0.94,17.8
2022-01-07,2.91,22.3
2022-01-08,1.06,23.1
2022-01-09,0.02,22.0
2022-01-10,0.14,27.1
2022-01-11,0.16,25.5
2022-01-12,1.25,32.3
2022-01-13,0.45,37.3
2022-01-14,0.10,33.9
2022-01-15,0.00,32.5
2022-01-16,0.00,34.2
2022-01-17,0.04,36.6
2022-01-18,0.05,36.2
2022-01-19,0.03,29.6
2022-01-20,0.12,31.2
2022-01-21,0.61,29.5
2022-01-22,0.02,32.7
2022-01-23,0.00,40.1
2022-01-24,0.00,40.2
2022-01-25,0.00,32.5
2022-01-26,0.00,28.8
2022-01-27,0.00,29.5
2022-01-28,0.00,23.1
2022-01-29,0.00,23.5
2022-01-30,0.02,25.2
2022-01-31,0.32,24.6
2022-02-01,0.32,19.2
2022-02-02,0.10,16.7
2022-02-03,0.18,18.0
2022-02-04,0.09,27.8
2022-02-05,0.15,28.0
2022-02-06,0.00,33.0
2022-02-07,0.00,39.9
2022-02-08,0.00,32.0
2022-02-09,0.02,34.1
2022-02-10,0.00,40.6
2022-02-11,0.00,39.3
2022-02-12,0.00,34.7
2022-02-13,0.00,36.3
2022-02-14,0.00,36.3
2022-02-15,0.01,27.7
2022-02-16,0.01,29.8
2022-02-17,0.00,30.0
2022-02-18,0.00,33.2
2022-02-19,0.02,36.3
2022-02-20,0.53,27.5
2022-02-21,0.67,20.9
2022-02-22,0.03,13.1
2022-02-23,0.00,3.6
2022-02-24,0.01,9.3
2022-02-25,0.00,14.8
2022-02-26,0.00,17.7
2022-02-27,0.31,18.6
2022-02-28,1.24,24.1
2022-03-01,3.11,31.4
2022-03-02,0.47,32.4
2022-03-03,0.05,31.4
2022-03-04,0.00,25.4
2022-03-05,0.00,26.3
2022-03-06,0.00,27.6
2022-03-07,0.00,30.4
2022-03-08,0.07,30.9
2022-03-09,0.17,21.1
2022-03-10,0.00,17.3
2022-03-11,0.04,23.2
2022-03-12,0.05,30.4
2022-03-13,0.02,34.1
2022-03-14,0.16,31.6
2022-03-15,0.63,30.4
2022-03-16,0.77,26.1
2022-03-17,0.08,28.5
2022-03-18,0.08,28.6
2022-03-19,0.00,30.4
2022-03-20,0.19,24.5
2022-03-21,0.19,23.4
2022-03-22,0.40,30.5
2022-03-23,0.00,39.9
2022-03-24,0.05,33.5
2022-03-25,0.00,31.7
2022-03-26,0.00,35.9
2022-03-27,0.00,38.0
2022-03-28,0.00,42.1
2022-03-29,0.00,37.7
2022-03-30,0.00,38.8
2022-03-31,0.17,27.4
2022-04-01,0.02,28.2
2022-04-02,0.08,31.5
2022-04-03,0.03,29.2
2022-04-04,0.41,31.6
2022-04-05,1.37,22.8
2022-04-06,0.25,24.4
2022-04-07,0.09,29.1
2022-04-08,0.00,39.8
2022-04-09,0.29,27.0
2022-04-10,0.37,20.9
2022-04-11,0.24,21.1
2022-04-12,0.43,20.8
2022-04-13,0.46,18.3
2022-04-14,0.27,17.8
2022-04-15,0.17,19.7
2022-04-16,0.04,21.5
2022-04-17,0.17,22.0
2022-04-18,0.03,26.0
2022-04-19,0.20,25.7
2022-04-20,0.03,25.8
2022-04-21,0.11,25.4
2022-04-22,0.10,30.2
2022-04-23,0.02,32.0
2022-04-24,0.00,35.4
2022-04-25,0.00,38.6
2022-04-26,0.00,32.8
2022-04-27,0.03,27.6
2022-04-28,0.02,29.0
2022-04-29,0.04,30.3
2022-04-30,0.06,33.9
2022-05-01,0.33,33.6
2022-05-02,0.00,39.6
2022-05-03,0.69,32.9
2022-05-04,0.00,38.6
2022-05-05,0.03,44.3
2022-05-06,0.56,33.3
2022-05-07,0.56,31.5
2022-05-08,0.21,27.5
2022-05-09,0.03,27.3
2022-05-10,0.06,28.8
2022-05-11,0.00,31.2
2022-05-12,0.01,33.8
2022-05-13,0.46,28.5
2022-05-14,0.13,29.3
2022-05-15,0.34,36.1
2022-05-16,0.37,38.5
2022-05-17,0.02,35.5
2022-05-18,0.05,36.5
2022-05-19,0.49,31.0
2022-05-20,0.21,29.3
2022-05-21,0.06,33.9
2022-05-22,0.11,35.8
2022-05-23,0.00,41.4
2022-05-24,0.00,39.6
2022-05-25,0.14,40.2
2022-05-26,0.04,43.3
2022-05-27,0.11,43.7
2022-05-28,0.07,37.5
2022-05-29,0.07,36.7
2022-05-30,0.08,34.4
2022-05-31,0.00,35.7
2022-06-01,0.00,46.5
2022-06-02,0.06,47.1
2022-06-03,0.21,48.5
2022-06-04,0.09,42.7
2022-06-05,0.30,43.6
2022-06-06,0.57,41.1
2022-06-07,0.00,39.7
2022-06-08,0.00,46.3
2022-06-09,0.00,47.2
2022-06-10,0.66,44.0
2022-06-11,0.13,46.4
2022-06-12,0.02,45.0
2022-06-13,0.20,38.5
2022-06-14,0.10,34.5
2022-06-15,0.06,36.2
2022-06-16,0.00,43.4
2022-06-17,0.00,45.1
2022-06-18,0.00,41.7
2022-06-19,0.00,40.9
2022-06-20,0.00,42.3
2022-06-21,0.00,45.9
2022-06-22,0.00,52.6
2022-06-23,0.00,48.8
2022-06-24,0.00,45.8
2022-06-25,0.00,50.5
2022-06-26,0.00,56.2
2022-06-27,0.00,61.5
2022-06-28,0.00,65.8
2022-06-29,0.00,49.3
2022-06-30,0.00,48.6
2022-07-01,0.00,54.3
2022-07-02,0.00,56.5
2022-07-03,0.03,57.0
2022-07-04,0.22,44.6
2022-07-05,0.02,48.2
2022-07-06,0.06,51.5
2022-07-07,0.07,51.8
2022-07-08,0.00,51.7
2022-07-09,0.00,53.3
2022-07-10,0.00,52.5
2022-07-11,0.00,53.6
2022-07-12,0.00,65.0
2022-07-13,0.00,65.0
2022-07-14,0.00,56.3
2022-07-15,0.00,60.5
2022-07-16,0.00,59.8
2022-07-17,0.00,56.0
2022-07-18,0.00,47.4
2022-07-19,0.00,51.2
2022-07-20,0.00,62.8
2022-07-21,0.00,64.9
2022-07-22,0.00,63.4
2022-07-23,0.00,57.6
2022-07-24,0.00,57.9
2022-07-25,0.00,66.5
2022-07-26,0.00,71.0
2022-07-27,0.00,73.7
2022-07-28,0.00,74.5
2022-07-29,0.00,76.1
2022-07-30,0.00,75.6
2022-07-31,0.00,73.2
2022-08-01,0.00,72.5
2022-08-02,0.00,64.9
2022-08-03,0.00,60.4
2022-08-04,0.00,58.4
2022-08-05,0.00,46.5
2022-08-06,0.00,52.3
2022-08-07,0.00,60.2
2022-08-08,0.00,66.6
2022-08-09,0.00,70.9
2022-08-10,0.02,67.2
2022-08-11,0.00,62.9
2022-08-12,0.00,62.9
2022-08-13,0.00,60.5
2022-08-14,0.00,53.8
2022-08-15,0.00,58.7
2022-08-16,0.00,64.2
2022-08-17,0.00,65.5
2022-08-18,0.00,72.3
2022-08-19,0.00,73.2
2022-08-20,0.00,64.0
2022-08-21,0.00,63.0
2022-08-22,0.00,64.2
2022-08-23,0.00,63.2
2022-08-24,0.00,62.7
2022-08-25,0.00,65.5
2022-08-26,0.00,65.5
2022-08-27,0.00,57.8
2022-08-28,0.00,47.1
2022-08-29,0.00,53.6
2022-08-30,0.00,62.9
2022-08-31,0.00,68.5
2022-09-01,0.00,69.4
2022-09-02,0.00,68.1
2022-09-03,0.00,69.5
2022-09-04,0.00,56.4
2022-09-05,0.00,55.9
2022-09-06,0.00,52.7
2022-09-07,0.00,62.4
2022-09-08,0.00,54.0
2022-09-09,0.00,52.8
2022-09-10,0.00,54.7
2022-09-11,0.00,58.8
2022-09-12,0.02,60.3
2022-09-13,0.07,55.2
2022-09-14,0.10,51.0
2022-09-15,0.00,49.3
2022-09-16,0.00,48.1
2022-09-17,0.00,42.5
2022-09-18,0.00,42.6
2022-09-19,0.04,49.6
2022-09-20,0.00,53.5
2022-09-21,0.00,51.3
2022-09-22,0.00,52.1
2022-09-23,0.00,47.1
2022-09-24,0.00,48.8
2022-09-25,0.00,54.1
2022-09-26,0.00,58.7
2022-09-27,0.00,60.1
2022-09-28,0.00,62.5
2022-09-29,0.00,49.6
2022-09-30,0.00,46.6
2022-10-01,0.00,54.2
2022-10-02,0.00,56.1
2022-10-03,0.00,59.9
2022-10-04,0.00,59.9
2022-10-05,0.00,59.1
2022-10-06,0.00,60.1
2022-10-07,0.00,60.0
2022-10-08,0.00,59.8
2022-10-09,0.00,59.7
2022-10-10,0.00,59.0
2022-10-11,0.00,51.6
2022-10-12,0.00,51.7
2022-10-13,0.00,56.7
2022-10-14,0.00,57.6
2022-10-15,0.00,57.7
2022-10-16,0.00,55.5
2022-10-17,0.00,56.0
2022-10-18,0.00,56.1
2022-10-19,0.00,56.4
2022-10-20,0.00,58.2
2022-10-21,0.00,46.2
2022-10-22,0.09,32.2
2022-10-23,0.03,29.4
2022-10-24,0.09,32.1
2022-10-25,0.83,30.2
2022-10-26,0.47,29.1
2022-10-27,0.17,29.4
2022-10-28,0.12,35.5
2022-10-29,0.07,35.2
2022-10-30,0.02,36.1
2022-10-31,1.09,35.6
